grade,semester,chapter,question,s1,s2,s3,s4,s5,answer,difficulty,explanation
3,1,5. 길이와 시간,"민준이는 숙제인 리코더 연습을 하고, 이어서 글씨 쓰기 연습을 했습니다. 숙제를 끝낸 시각이 11시 2분 59초였을 때, 리코더 연습을 시작한 시각을 구해 보세요. 리코더 연습: 4분 16초, 글씨 쓰기 연습: 7분 38초",,,,,,10시 51분 5초,1,(글씨 쓰기 연습을 시작한 시각)=11시 2분 59초-7분 38초=10시 55분 21초(리코더 연습을 시작한 시각)=10시 55분 21초-4분 16초=10시 51분 5초
3,1,6. 분수와 소수,"직사각형 모양의 종이를 반으로 접은 다음 다시 반으로 접었습니다. 이것을 한 번 더 반으로 접은 다음 펼쳤을 때, 나누어진 작은 도형 하나의 크기를 분수로 나타내시오.",,,,,,1/8,2,펼쳤을 때 똑같이 나누어진 작은 도형은 8개입니다.
3,1,6. 분수와 소수,"가희와 찬우는 똑같은 동화책을 끝까지 읽으려고 합니다. 가희는 전체의 9/13를 읽었고, 찬우는 전체의 12/13를 읽었습니다. 가희가 더 읽어야 하는 양은 찬우가 더 읽어야 하는 양의 몇 배인지 구해 보시오.",2배,3배,4배,1/2배,1/4배,3,0,"가희가 더 읽어야 하는 양은 전체의 4/13이고, 찬우가 더 읽어야 하는 양은 1/13입니다.따라서 4/13는 1/13이 4개인 수이므로 가희가 더 읽어야 하는 양은 찬우가 더 읽어야 하는 양의 4배입니다."
3,1,4. 곱셈,어떤 수에 5를 곱해야 할 것을 잘못하여 5를 더하였더니 17이 되었습니다. 바르게 계산한 값은 얼마입니까?,,,,,,60,0,"어떤 수를 □라 하여 잘못 계산한 것을 식으로 나타내면 □+5=17 입니다.
□= 17-5= 12 이므로 어떤 수는 12 입니다.
⇨ 바르게 계산하면 12×5= 60 입니다."
3,1,3. 나눗셈,농구 시합에 필요한 선수는 한 팀당 5명입니다. 농구 선수 30명으로 농구팀을 몇 팀 만들 수 있습니까?,2팀,3팀,3팀,5팀,6팀,5,2,"30÷5 = 6, 따라서 농구팀을 6 팀 만들 수 있습니다."
3,2,5. 들이와 무게,들이가 가장 많은 것은 어느 것입니까?,1080mL,10L 80mL,1L 800mL,18L,10L 800mL,4,2,18L > 10L 800mL > 10L 80mL > 1L 800mL > 1L 80mL
3,2,5. 들이와 무게,2 L 의 물이 들어 있는 물통에 460 mL 의 물을 더 부었습니다. 물통에 들어 있는 물은 모두 몇 mL입니까?,,,,,,2460mL,1,2L + 460mL = 2L 460mL = 2460mL
3,1,1. 덧셈과 뺄셈,슬기는 아침마다 달리기를 합니다. 오늘 아침에는 247m 를 달렸습니다. 내일부터는 전날보다 179m 씩 더 달리려고 합니다. 계속 이렇게 달린다면 3 일 후에는 몇 m를 달려야 하는지 구하시오.,,,,,,784m,1,"오늘 달린 거리 : 247m ,
1 일 후 달려야 하는 거리 : 247+179=426( m) ,
2 일 후 달려야 하는 거리 : 426+179=605( m) ,
3 일 후 달려야 하는 거리 : 605+179=784( m)"
3,2,4. 분수,학생 40 명이 8 명씩 한 팀이 되어 피구를 합니다. 24 명은 전체의 얼마인지 분수로 나타내시오.,1/6,1/2,2/5,3/5,5/6,4,2,8명씩 한 팀으로 묶으면 5팀이 되고 24명은 3팀으로 전체의 3/5 입니다.
3,2,4. 분수,길이가 가장 긴 것은 어느 것입니까?,36cm의 2/3,36cm의 1/4,36cm의 5/6,36cm의 7/9,36cm의 7/12,3,2,① 24 cm ② 9 cm ③ 30cm ④ 28cm ⑤ 21 cm
3,2,5. 들이와 무게,5L 800mL 들이의 빈 항아리에 물을 지우가 2L 100mL 부은 후 은주가 1L 600mL 부었습니 다. 이 항아리에 물을 가득 채우려면 물을 몇 L 몇 mL 더 부어야 하는지 구하시오.,,,,,,2L 100ml,0,"(지우와 은주가 항아리에 부은 물의 양)
= 2L 100mL+1L 600mL
= 3L 700mL

(항아리에 더 부어야 하는 물의 양)
= 5L 800mL-3L 700mL
= 2L 100mL"
3,2,3. 원,반지름이 7cm인 원이 있습니다. 원의 지름은 몇 cm입니까?,,,,,,14cm,2,"지름은 반지름의 2배의 길이를 가지므로, 반지름은 7cm * 2 = 14cm입니다"
3,2,4. 분수,"□ 안에 들어갈 수 있는 수를 작은 수부터 차례로 쓰시오
59/8 ＜ 7□/8",,,,,,"4 , 5 , 6 , 7",1,"59/8 = 7 3/8 이므로 7 3/8 < 7 □/8입니다.
따라서 3＜□이고 □는 분모인 8보다 작아야 하므로
□ 안에 들어갈 수 있는 수는 4 , 5 , 6 , 7 입니다."
3,1,1. 덧셈과 뺄셈,"어느 공장에서 어린이 문제집을 1 월에는 247 권, 2월에는 321 권을 만들었습니다. 이 공장에서 1 월과 2 월 에 만든 어린이 문제집은 모두 몇 권입니까?",,,,,,568권,2,247+321= 568 (권)
3,1,2. 평면도형,‘두 점 사이를 곧게 이은 가장 짧은 선’을 무엇이라고 합니까?,꼭지점,직선,변,선분,각,4,2,.
3,1,3. 나눗셈,농구공 24개를 바구니 6개에 똑같이 나누어 담으려고 합니다. 바구니 한 개에 농구공 몇 개씩 담을 수 있을까요?,,,,,,4개,2,24/6=4
3,1,4. 곱셈,사탕이 20개씩 들어 있는 통이 7통 있습니다. 사탕은 모두 몇 개일까요?,,,,,,140개,2,20*7=140
3,1,3. 나눗셈,긴 의자 한 개에 8명이 앉을 수 있습니다. 현서네 반 학생 32명이 앉으려면 긴 의자 몇 개가 필요할까요?,,,,,,4개,2,32/8=4
3,1,3. 나눗셈,연필 54자루를 한 명에게 6자루씩 주려고 합니다. 몇 명에게 나누어 줄 수 있을까요?,,,,,,9명,2,54/6=9
3,1,4. 곱셈,책꽂이 한 칸에 책이 42권씩 4칸에 꽂혀 있습니다. 책꽂이에 꽂혀 있는 책은 모두 몇 권일까요?,,,,,,168권,2,42*4=168
3,1,3. 나눗셈,"우리 반은 남학생이 47명, 여학생이 16명입니다. 우리반 학생을 7모둠으로 나누었습니다. 한 모둠에 있는 학생은 몇 명일까요?",,,,,,9명,1,"우리 반의 학생의 총 수 = 47+16 = 63(명), 7모둠으로 나누어 앉으려면 63/7=9(명)"
3,1,3. 나눗셈,내가 가져온 색종이 24장과 민우가 가져온 색종이 18장을 합하여 친구들에게 6장씩 나누어 주려고 합니다. 몇 명에게 나누어 줄 수 있을까요?,,,,,,7명,1,"색종이는 모두 24+18=42(장), 친구들에게 6장씩 나누어 주려면 42/6=7(명)"
3,1,4. 곱셈,지석이네 농장에는 닭이 32마리 있습니다. 지석이네 농장에 있는 닭의 다리는 모두 몇 개일까요?,,,,,,64개,1,(전체 닭의 다리 수) = (닭의 수)*(닭 한마리의 다리 수)=32*2=64(개)
3,1,4. 곱셈,한 상자에 8개씩 들어 있는 사과가 3상자 있습니다. 이 사과를 한 사람에게 4개씩 나누어 준다면 몇 사람에게 줄 수 있습니까?,,,,,,6명,1,"(총 사과의 수)=(상자에 들어있는 사과의 수)*(상자의 수)=8*3=24(개), 한 사람에게 4개씩 나누어주려면 24/4=6(명)"
3,1,4. 곱셈,빨간색 끈의 길이는 20cm입니다. 노란색 끈의 길이는 빨간색 끈의 길이의 3배입니다. 파란색 끈의 길이는 노란색 끈의 길이의 4배입니다. 파란색 끈의 길이는 몇 cm일까요?,,,,,,240cm,1,"(노란색 끈의 길이)=(빨간색 끈의 길이)*3=20*3=60, (파란색 끈의 길이)=(노란색 끈의 길이)*4=60*4=240(cm)"
3,1,4. 곱셈,주차장에 자동차 13대와 오토바이 16대가 있습니다. 주차장에 있는 자동차의 바퀴는 오토바이의 바퀴보다 몇 개 더 많습니까?,16개,17개,18개,19개,20개,5,0,"(자동차 바퀴 수)=(자동차 수)*4=13*4=52(개), (오토바이 바퀴 수)=(오토바이 수)*2=16*2=32(개), 52-32=20(개)"
3,1,4. 곱셈,파란색 구슬은 30개입니다. 주황색 구슬은 파란색 구슬보다 4개가 더 많습니다. 초록색 구슬은 주황색 구슬의 2배입니다. 보라색 구슬은 파란색 구슬의 3배입니다. 구슬은 모두 몇 개일까요?,,,,,,222개,0,"(주황색 구슬 수)=30+4=34(개), (초록색 구슬 수)=34*2=68(개), (보라색 구슬 수)=30*3=90(개), 구슬의 총 개수는 30+34+68+90=222(개)"
3,1,3. 나눗셈,한 자루에 27개씩 담긴 무가 40자루 있습니다. 이 무를 다시 한 자루에 15개씩 담아서 59자루를 팔았습니다. 팔고 남은 무는 몇 개입니까?,,,,,,195개,0,"(무의 총 개수)=(한 자루에 담긴 무의 수)*(자루의 수)=27*40=1080(개), 무를 다시 한 자루에 15개씩 담으면 자루의 수는 1080/15=72(자루), 판 자루의 수가 59자루라면 남은 자루의 수는 72-59=13(자루), 남은 무의 총 수는 13*15=195(개)"
3,1,4. 곱셈,"민서네 학교 3학년은 1반부터 6반까지 있는데 1반부터 5반까지는 23명씩이고, 6반만 25명입니다. 3학년 학생은 모두 몇 명일까요?",,,,,,140명,0,"(1반부터 5반까지 학생의 수)=23*5=115(명), 6반까지 합치면 115+25=140(명)"
3,1,4. 곱셈,엘리베이터에 750kg까지 탈 수 있습니다. 16kg짜리 상자 4개와 몸무게가 66kg인 사람이 1명 탔다면 몇 kg을 더 실을 수 있을까요?,,,,,,620kg,0,"(상자 무게)=16*4=64(kg), (상자와 사람 무게)=64+66=130(kg), 더 실을 수 있는 무게는 750-130=620(kg)"
3,1,3. 나눗셈,예란이는 친구들 39명과 함께 동시에 가위바위보 놀이를 하기로 하였습니다. 그러나 3명은 놀이에 참석하지 않았습니다. 놀이에 참여 한 친구 중 10명은 보를 내고 나머지는 가위를 냈다면 무엇을 낸 친구들의 펼친 손 가락 수가 얼마나 더 많은지 구해 보세요.,,,,,,"가위, 4개",0,"예란이가 친구 39명과 동시에 가위바위보를 했으므로 참여한 친구는 모두 40명입니다. 그러나 3명이 놀이에 참여하지 않았으므로 놀이를 한 친구는 37명입니다.
10명은 보를 냈으므로 펼친 손가락은 10×5＝50(개) 입니다. 또 나머 지인 27명은 가위를 냈으므로 펼친 손가락은 27×2＝54(개)입니다. (가위를 낸 친구들이 펼친 손가락 수)-(보를 낸 친구들이 펼친 손가락 수)＝54-50＝4(개) 따라서 가위를 낸 친구들이 펼친 손가락이 4개 더 많습니다."
3,1,3. 나눗셈,어떤 수를 9로 나눌 것을 잘못해서 6으로 나누었더니 몫이 6이 되었습니다. 바르게 계산하면 얼마인지 답을 구해 보세요.,,,,,,4,1,"어떤 수를 잘못하여 6으로 나누고, 몫을 6으로 얻었기 때문에 어떤수÷6 = 6입니다. 어떤수를 구하기 위해선 양 변에 6씩 곱해줍니다. 어떤수는 36입니다. 36을 9로 제대로 나눌 경우 몫은 4가 됩니다."
3,1,4. 곱셈,36÷6의 몫을 구할 때 필요한 곱셈식을 찾아 골라 보세요.,4×8＝32,3×9＝27,6×6＝36,4×9＝36,-,3,1,"곱셈과 나눗셈은 반대의 관계를 가지고 있습니다. 36÷6은 36을 6으로 나눈 것이며, 이때 몫은 6입니다. 곱셈의 관점에서는 6×6=36이 됩니다."
3,1,3. 나눗셈,다음 중 몫과 나머지의 합이 가장 작은 것은 어느 것인가요?,76÷3,57÷2,126÷5,127÷4,132÷6,5,0,① 76÷3＝25 … 1 → 25＋1＝26 ② 57÷2＝28…1 → 28＋1＝29 ③ 126÷5＝25…1 → 25＋1＝26 ④ 127÷4＝31…3 → 31＋3＝34 ⑤ 132÷6＝22 → 22＋0＝22
3,1,4. 곱셈,12월 한 달 동안 진선이는 매일 팔굽혀펴기 22회를 했다. 진선이 가 한 달 동안 한 팔굽혀펴기는 몇 회인가?,572회,582회,672회,682회,-,4,1,12월은 한 달이 31일입니다. 팔굽혀펴기를 매일 22개씩 했으므로 한 달 동안 한 팔굽혀펴기의 횟수는 31 × 22 = 682(회)입니다.
3,1,3. 나눗셈,준식이네 학교에서는 크리스마스를 맞이하여 크리스마스 카드 360장을 준비하여 9개의 학급에 똑같이 나누어 주려고 한다. 한 학급 이 받게 되는 카드는 모두 몇 장인가?,60장,50장,40장,30장,-,3,2,크리스마스 카드 360장을 준식이네 학교 9학급에 똑같이 나누어 주 기 위해서는 360÷9＝40(장)씩 나누어 주면 됩니다.
3,1,4. 곱셈,□ 안에 들어갈 수 있는 자연수는 모두 몇 개일까요? / 40×30<425×□<31×64,1개,2개,3개,4개,-,2,0,"40×30＝1200, 31×64＝1984이므로 1200<425×□<1984입니다. 425×3＝1275, 425×4＝1700, 425×5＝2125이므로 □ 안에 들어갈 수 있는 자연수는 3, 4로 모두 2개입니다."
3,1,4. 곱셈,다음을 계산한 결과는? / 584X3,1742,1749,1752,2336,-,3,1,584X3 = 1752
3,1,4. 곱셈,어떤 식을 계산하였더니 그 값이 814가 나왔다. 다음 중 어떤 식이 될 수 있는 것은?,41×24,37×22,29×26,18×44,-,2,2,"① 41×24＝984, ② 37×22＝814, ③ 29×26＝754, ④ 18×44＝792입니다. 따라서 814가 나오는 곱셈식은 ②입니다."
3,1,4. 곱셈,수아는 공책 3묶음을 샀습니다. 수아가 산 공책이 모두 18권일 때 한 묶음에 공책이 몇 권씩 있나요?,,,,,,6권,2,공책 18권을 3묶음으로 묶으면 한 묶음에 공책이 6권입니다. → 18÷3 ＝6
3,1,4. 곱셈,다음 중에서 □ 안에 들어갈 수 있는 가장 큰 수는 어느 것인가요? / 6×72＞□×49,5,6,7,8,9,4,1,"6×72＝432이므로 432＞□×49입니다. 8×49＝392, 9×49＝441이므로 □ 안에 들어갈 수 있는 가장 큰 수 는 8입니다."
3,1,4. 곱셈,"길이가 91 m인 도로의 양쪽에 처음부터 끝까지 7 m 간격으로 나 무를 심으려고 합니다. 필요한 나무는 모두 몇 그루일까요? (단, 나무 의 굵기는생각하지 않습니다.)",20그루,24그루,28그루,32그루,-,3,0,(도로 한쪽의 나무 사이의 간격 수) ＝91÷7＝13(군데) (도로 한쪽에 심을 때 필요한 나무 수) ＝13＋1＝14(그루) (도로 양쪽에 심을 때 필요한 나무 수) ＝14×2＝28(그루)
3,1,4. 곱셈,□ 안에 들어갈 수 있는 수 중에서 가장 작은 수는 얼마인가요? 153×□＞800,5,6,7,8,9,2,1,"153×5＝765이고 153×6＝918이므로 □ 안에 들어갈 수 있는 한 자 리 수는 6, 7, 8, 9이고 그중 가장 작은 수는 6입니다."
3,1,4. 곱셈,감이 한 상자에 12개씩 8상자 있습니다. 감을 한 봉지에 6개씩 담으려고 합니다. 감을 몇 봉지에 담을 수 있을까요?,14봉지,15봉지,16봉지,17봉지,-,3,1,감은 모두 12×8 = 96(개)입니다. 96÷6 =.16이므로 감을 16봉지에 담을 수 있습니다.
3,1,3. 나눗셈,연필 282자루를 6명에게 남김없이 독같이 나누어 주려고 한다. 한 명에게 줄 연필 수는?,45자루,46자루,47자루,48자루,-,3,2,282÷6=47(자루)